Atoms	Quanta	Temperature	Cv
1	760000	1.097055E+08	1.662910E+01
1	770000	1.111490E+08	1.662865E+01
1	780000	1.125925E+08	1.662973E+01
1	790000	1.140359E+08	1.662925E+01
1	800000	1.154794E+08	1.662979E+01
1	810000	1.169229E+08	1.662938E+01
1	820000	1.183664E+08	1.662840E+01
1	830000	1.198099E+08	1.662859E+01
1	840000	1.212534E+08	1.662800E+01
1	850000	1.226969E+08	1.662852E+01
1	860000	1.241404E+08	1.662819E+01
1	870000	1.255839E+08	1.662907E+01
1	880000	1.270274E+08	1.662776E+01
1	890000	1.284709E+08	1.662933E+01
1	900000	1.299143E+08	1.662891E+01
1	910000	1.313578E+08	1.662882E+01
1	920000	1.328013E+08	1.662856E+01
1	930000	1.342448E+08	1.662915E+01
1	940000	1.356883E+08	1.662850E+01
1	950000	1.371318E+08	1.662937E+01
1	960000	1.385753E+08	1.662795E+01
1	970000	1.400188E+08	1.662884E+01
1	980000	1.414623E+08	1.662818E+01
1	990000	1.429058E+08	1.662906E+01
1	1000000	1.443492E+08	1.662928E+01
1	1100000	1.587841E+08	1.662883E+01
1	1200000	1.732190E+08	1.662891E+01
1	1300000	1.876540E+08	1.663111E+01
1	1400000	2.020889E+08	1.663076E+01
1	1500000	2.165238E+08	1.662974E+01
1	1600000	2.309587E+08	1.663098E+01
1	1700000	2.453936E+08	1.662720E+01
1	1800000	2.598285E+08	1.662891E+01
1	1900000	2.742634E+08	1.662938E+01
1	2000000	2.886983E+08	1.663483E+01
1	2100000	3.031332E+08	1.663257E+01
1	2200000	3.175681E+08	1.662884E+01
1	2300000	3.320030E+08	1.662583E+01
1	2400000	3.464379E+08	1.663690E+01
1	2500000	3.608728E+08	1.663067E+01
1	2600000	3.753077E+08	1.662176E+01
1	2700000	3.897426E+08	1.662294E+01
1	2800000	4.041775E+08	1.662715E+01
1	2900000	4.186124E+08	1.662908E+01
1	3000000	4.330473E+08	1.662560E+01
1	3100000	4.474822E+08	1.661604E+01
1	3200000	4.619171E+08	1.662154E+01
1	3300000	4.763520E+08	1.663108E+01
1	3400000	4.907869E+08	1.663254E+01
1	3500000	5.052218E+08	1.663529E+01
1	3600000	5.196567E+08	1.662892E+01
1	3700000	5.340916E+08	1.662741E+01
1	3800000	5.485265E+08	1.664940E+01
1	3900000	5.629614E+08	1.663424E+01
1	4000000	5.773963E+08	1.662744E+01
1	4100000	5.918312E+08	1.662346E+01
1	4200000	6.062661E+08	1.664888E+01
1	4300000	6.207010E+08	1.663367E+01
1	4400000	6.351359E+08	1.660208E+01
1	4500000	6.495708E+08	1.665888E+01
1	4600000	6.640057E+08	1.661608E+01
1	4700000	6.784406E+08	1.665957E+01
1	4800000	6.928755E+08	1.662626E+01
1	4900000	7.073105E+08	1.659105E+01
1	5000000	7.217454E+08	1.664222E+01
1	5100000	7.361803E+08	1.664322E+01
1	5200000	7.506152E+08	1.663424E+01
1	5300000	7.650501E+08	1.666296E+01
1	5400000	7.794850E+08	1.662294E+01
1	5500000	7.939199E+08	1.661545E+01
1	5600000	8.083548E+08	1.664163E+01
1	5700000	8.227897E+08	1.658286E+01
1	5800000	8.372246E+08	1.661357E+01
1	5900000	8.516595E+08	1.667747E+01
1	6000000	8.660944E+08	1.664222E+01
1	6100000	8.805293E+08	1.663332E+01
1	6200000	8.949642E+08	1.665155E+01
1	6300000	9.093991E+08	1.662444E+01
1	6400000	9.238340E+08	1.662154E+01
1	6500000	9.382689E+08	1.664361E+01
1	6600000	9.527038E+08	1.661100E+01
1	6700000	9.671387E+08	1.660001E+01
1	6800000	9.815736E+08	1.661122E+01
1	6900000	9.960085E+08	1.664539E+01
1	7000000	1.010443E+09	1.661269E+01
1	7100000	1.024878E+09	1.669234E+01
1	7200000	1.039313E+09	1.670101E+01
1	7300000	1.053748E+09	1.663112E+01
1	7400000	1.068183E+09	1.667810E+01
1	7500000	1.082618E+09	1.664222E+01
1	7600000	1.097053E+09	1.662272E+01
1	7700000	1.111488E+09	1.661992E+01
1	7800000	1.125923E+09	1.663424E+01
1	7900000	1.140358E+09	1.666622E+01
1	8000000	1.154792E+09	1.659796E+01
1	8100000	1.169227E+09	1.666339E+01
1	8200000	1.183662E+09	1.662346E+01
1	8300000	1.198097E+09	1.672455E+01
1	8400000	1.212532E+09	1.658385E+01
1	8500000	1.226967E+09	1.658464E+01
1	8600000	1.241402E+09	1.659958E+01
1	8700000	1.255837E+09	1.662909E+01
1	8800000	1.270272E+09	1.667365E+01
1	8900000	1.284707E+09	1.658705E+01
1	9000000	1.299141E+09	1.665888E+01
1	9100000	1.313576E+09	1.659375E+01
1	9200000	1.328011E+09	1.669446E+01
1	9300000	1.342446E+09	1.665155E+01
1	9400000	1.356881E+09	1.661874E+01
1	9500000	1.371316E+09	1.676376E+01
1	9600000	1.385751E+09	1.675482E+01
1	9700000	1.400186E+09	1.658209E+01
1	9800000	1.414621E+09	1.659105E+01
1	9900000	1.429056E+09	1.661100E+01
